model,threshold,train_time_s,accuracy,precision,recall,f1,far,tp,tn,fp,fn,total_time_s,avg_latency_ms,throughput_eps,quantile
logistic_regression,0.8,167.96884329989552,0.9030902320839792,0.9832706984016987,0.6539084194977843,0.7854595521048093,0.004141929835752576,110674,452736,1883,58576,0.0021765001583844423,3.4887134292366543e-06,286638619.15961504,
logistic_regression,0.9,167.96884329989552,0.8986806525087799,0.9958013054293142,0.6291816838995569,0.7711341549958723,0.0009876401998156698,106489,454170,449,62761,0.002959399949759245,4.743623981571844e-06,210809289.24485296,
logistic_regression,0.95,167.96884329989552,0.8982446635431477,0.9963303613327077,0.6272319054652881,0.7698259608411893,0.0008600608421557392,106159,454228,391,63091,0.002581499982625246,4.137887894133618e-06,241669186.20915848,
decision_tree,0.8,118.76952979993075,0.9979418756181185,0.9976121631550258,0.994794682422452,0.9962014306761099,0.0008864565713267593,168369,454216,403,881,0.003690000157803297,5.9147034999387645e-06,169070182.4715902,
decision_tree,0.9,118.76952979993075,0.9977719681535707,0.997811361937864,0.9939675036927622,0.9958857237574293,0.000811668672008869,168229,454250,369,1021,0.004561800044029951,7.3121120684469835e-06,136759391.9019884,
decision_tree,0.95,118.76952979993075,0.9977447188432187,0.9978465791456318,0.9938316100443132,0.9958350477622632,0.0007984708074233589,168206,454256,363,1044,0.004270600154995918,6.8453475889905065e-06,146084619.80927274,
gaussian_nb,0.8,4.354394400026649,0.7068022293141669,0.4804426903714558,0.9918522895125554,0.6473270491787475,0.3993189901873877,167871,273081,181538,1379,0.001610300038009882,2.581150911505271e-06,387424073.32426053,
gaussian_nb,0.9,4.354394400026649,0.7123658973278044,0.4852464519713843,0.9906883308714919,0.6514217337420405,0.39125069563744586,167674,276749,177870,1576,0.0014798999764025211,2.372132573348766e-06,421561598.72139394,
gaussian_nb,0.95,4.354394400026649,0.7137043193362709,0.4864218804846987,0.9906883308714919,0.652480061639158,0.3894139928159624,167674,277584,177035,1576,0.001597799826413393,2.5611143147253558e-06,390455043.04529107,
random_forest,0.8,294.3850879999809,0.9941878823919765,0.9987593052109182,0.9797932053175775,0.9891853522067727,0.0004531266841025122,165830,454413,206,3420,0.002630600007250905,4.2165903535051514e-06,237158442.28707772,
random_forest,0.9,294.3850879999809,0.9895490880296985,0.9987862143373833,0.9626469719350074,0.9803836618769105,0.0004355295313218321,162928,454421,198,6322,0.0038272999227046967,6.134781376706803e-06,163004993.75526363,
random_forest,0.95,294.3850879999809,0.9818936347213918,1.0,0.933258493353028,0.9654771946553221,0.0,157954,454619,0,11296,0.004642399959266186,7.4413057216598125e-06,134385017.54997724,
isolation_forest,,3.881315400125459,0.7478076326921197,0.6036609768404935,0.2049807976366322,0.30604134597148036,0.050103493254791374,34693,431841,22778,134557,0.004915500059723854,7.879058038985515e-06,126918724.93539307,0.95
isolation_forest,,3.881315400125459,0.7602910226345595,0.7326045380492527,0.18332644017725258,0.29326616352320145,0.024910969405150248,31028,443294,11325,138222,0.00393339991569519,6.304849120080001e-06,158608077.83887318,0.975
isolation_forest,,3.881315400125459,0.7303584566631777,0.5507446493737055,0.03299261447562777,0.06225576819091472,0.010019378864499724,5584,450064,4555,163666,0.0027094001416116953,4.3428991368567685e-06,230260931.3472943,0.99
