model,screen_threshold,confirm_threshold,train_time_s,accuracy,precision,recall,f1,far,tp,tn,fp,fn,total_time_s,avg_latency_ms,throughput_eps,candidate_count,confirmed_count
logistic_regression_only,0.2,,77.22955249994993,0.9244697204060468,0.7923270988218736,0.9779025110782865,0.8753877521876761,0.09542276059733536,165510,411238,43381,3740,0.001744499895721674,2.796259945151424e-06,357620543.0163781,,
logistic_regression_only,0.3,,77.22955249994993,0.9350344383195831,0.8236285010308242,0.9677695716395864,0.8899000325980658,0.07715251672279425,163795,419544,35075,5455,0.0015236001927405596,2.442179676727902e-06,409470281.62146807,,
logistic_regression_only,0.4,,77.22955249994993,0.942133685116587,0.8607415916640025,0.938546528803545,0.8979618370882902,0.056530853307934774,158849,428919,25700,10401,0.0015922000166028738,2.5521383761701155e-06,391828283.817689,,
supervised_rf_only,,0.8,107.49016029993072,0.9941878823919765,0.9987593052109182,0.9797932053175775,0.9891853522067727,0.0004531266841025122,165830,454413,206,3420,0.0017047000583261251,2.7324647615543086e-06,365969952.86818254,,
supervised_rf_only,,0.9,107.49016029993072,0.9895490880296985,0.9987862143373833,0.9626469719350074,0.9803836618769105,0.0004355295313218321,162928,454421,198,6322,0.0017901998944580555,2.8695125009546165e-06,348491250.5756028,,
supervised_rf_only,,0.95,107.49016029993072,0.9818936347213918,1.0,0.933258493353028,0.9654771946553221,0.0,157954,454619,0,11296,0.001965699950233102,3.150821647225783e-06,317377532.5812155,,
stage1_lr_screen_only,0.2,,77.22955249994993,0.9244697204060468,0.7923270988218736,0.9779025110782865,0.8753877521876761,0.09542276059733536,165510,411238,43381,3740,1e-09,1.6029006089419415e-12,623869000000000.0,208891.0,
two_stage_lr_supervised_rf,0.2,0.8,184.71971279988065,0.9910990929185454,0.9987508150170316,0.9684017725258494,0.9833421827050279,0.0004509270400049272,163902,454414,205,5348,0.00262079993262887,4.200881807925815e-06,238045259.47702157,208891.0,164107.0
two_stage_lr_supervised_rf,0.2,0.9,184.71971279988065,0.9867696583737933,0.9987793543590061,0.9523958641063516,0.9750362932494556,0.0004333298872242471,161193,454422,197,8057,0.0028624001424759626,4.588142931410221e-06,217953105.41745442,208891.0,161390.0
two_stage_lr_supervised_rf,0.2,0.95,184.71971279988065,0.9799717568912705,1.0,0.9261742983751846,0.9616723669882363,0.0,156755,454619,0,12495,0.0036712000146508217,5.884568739031466e-06,169935987.55455932,208891.0,156755.0
stage1_lr_screen_only,0.3,,77.22955249994993,0.9350344383195831,0.8236285010308242,0.9677695716395864,0.8899000325980658,0.07715251672279425,163795,419544,35075,5455,1e-09,1.6029006089419415e-12,623869000000000.0,198870.0,
two_stage_lr_supervised_rf,0.3,0.8,184.71971279988065,0.9884062198955229,0.998750177006951,0.9584638109305761,0.9781923762259817,0.0004465277518097572,162220,454416,203,7030,0.003007400082424283,4.820563423449928e-06,207444630.87767676,198870.0,162423.0
two_stage_lr_supervised_rf,0.3,0.9,184.71971279988065,0.9841441071763463,0.9987793274407192,0.9427060561299853,0.9699329479206561,0.0004289305990290771,159553,454424,195,9697,0.0028615999035537243,4.5868602279544654e-06,218014055.43285006,198870.0,159748.0
two_stage_lr_supervised_rf,0.3,0.95,184.71971279988065,0.9774600116370584,1.0,0.9169158050221565,0.9566573582625957,0.0,155188,454619,0,14062,0.0029432999435812235,4.717817271865125e-06,211962427.19351095,198870.0,155188.0
stage1_lr_screen_only,0.4,,77.22955249994993,0.942133685116587,0.8607415916640025,0.938546528803545,0.8979618370882902,0.056530853307934774,158849,428919,25700,10401,1e-09,1.6029006089419415e-12,623869000000000.0,184549.0,
two_stage_lr_supervised_rf,0.4,0.8,184.71971279988065,0.9812476657759882,0.9987716776730257,0.9320236336779911,0.9642439079553408,0.00042673095493149206,157745,454425,194,11505,0.0028884001076221466,4.629818291375508e-06,215991198.1562677,184549.0,157939.0
two_stage_lr_supervised_rf,0.4,0.9,184.71971279988065,0.9778767657953833,0.9987871086981633,0.9195686853766617,0.9575422362770553,0.00041573273444356704,155637,454430,189,13613,0.00271689984947443,4.354920423156833e-06,229625320.97776228,184549.0,155826.0
two_stage_lr_supervised_rf,0.4,0.95,184.71971279988065,0.9719604596477787,1.0,0.8966440177252585,0.9455058612429013,0.0,151757,454619,0,17493,0.002737900009378791,4.388581592255411e-06,227864055.61302847,184549.0,151757.0
